Artist,Genres,Popularity,Followers
Dog Unit,space rock; stoner rock; post-rock,9,2628
Dolphin,cold wave,34,101519
Don Henley,yacht rock,63,1731039
Doom:VS,doom metal; gothic metal; sludge metal; drone metal; stoner metal,15,10092
DoomCannon,nu jazz,10,4919
Downfall Of Gaia,black metal; sludge metal; drone metal,15,26687
Download,industrial; ebm; industrial rock; idm; industrial metal,16,17546
Draconian,gothic metal; doom metal; symphonic metal; melodic death metal; gothic rock,40,180005
Dragon Throne,power metal; symphonic metal; stoner metal,0,285
DragonForce,power metal; speed metal; metal; symphonic metal,56,1246078
Dragonlord,black metal; symphonic metal,9,12857
Drahla,post-punk; riot grrrl; noise rock; egg punk,20,25842
Drake,rap,95,102653451
Dream on Dreamer,metalcore; post-hardcore,37,107667
Dream Theater,progressive metal; progressive rock; metal,60,1771628
Dream Unending,doom metal; sludge metal; death metal; drone metal,14,11445
Drowning Pool,nu metal; alternative metal; rap metal; metal,62,2440557
Drudkh,black metal; metal; folk metal,30,100350
Dry Cleaning,post-punk; spoken word,42,147458
Dua Lipa,pop,84,46815187
Duran Duran,new wave; synthpop,71,3560506
Dvne,sludge metal; progressive metal; stoner metal; doom metal,26,35728
Dynazty,power metal; symphonic metal; metal; arena rock,51,122277
Décembre Noir,doom metal; melodic death metal; gothic metal; drone metal,8,7964
Earthside,progressive metal; djent; progressive rock; post-rock,31,53284
Echo & the Bunnymen,new wave; post-punk; gothic rock,55,1042483
Echolyn,progressive rock; progressive metal; art rock; jazz fusion,11,9172
Edge Of Sanity,melodic death metal; death metal; progressive metal; metal,32,70443
Edguy,power metal; symphonic metal; speed metal; metal; heavy metal; progressive metal,44,306603
Editors,,50,764570
Eefje de Visser,nederpop,47,86714
Egor Letov,,36,128632
Einar Solberg,progressive metal; progressive rock,24,14109
Einherjer,folk metal; black metal,20,37043
Einmusik,melodic techno; melodic house; minimal techno; progressive house; techno,43,118522
Einstürzende Neubauten,industrial; industrial rock; experimental; ebm; avant-garde; krautrock; noise rock; post-punk,36,232077
Elbow,,51,560384
Electric Callboy,metalcore; metal,65,1079399
Electric Light Orchestra,art rock,70,4446621
